id,path,set_name
close_00000,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,closeups
close_00001,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,closeups
close_00002,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg,closeups
close_00003,D:\SEM 7\CVProject\datasets\bottles_closeups\image_11.jpg,closeups
close_00004,D:\SEM 7\CVProject\datasets\bottles_closeups\image_12.jpg,closeups
close_00005,D:\SEM 7\CVProject\datasets\bottles_closeups\image_13.jpg,closeups
close_00006,D:\SEM 7\CVProject\datasets\bottles_closeups\image_14.jpg,closeups
close_00007,D:\SEM 7\CVProject\datasets\bottles_closeups\image_15.jpg,closeups
close_00008,D:\SEM 7\CVProject\datasets\bottles_closeups\image_16.jpg,closeups
close_00009,D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,closeups
close_00010,D:\SEM 7\CVProject\datasets\bottles_closeups\image_18.jpg,closeups
close_00011,D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,closeups
close_00012,D:\SEM 7\CVProject\datasets\bottles_closeups\image_2.jpg,closeups
close_00013,D:\SEM 7\CVProject\datasets\bottles_closeups\image_20.jpg,closeups
close_00014,D:\SEM 7\CVProject\datasets\bottles_closeups\image_21.jpg,closeups
close_00015,D:\SEM 7\CVProject\datasets\bottles_closeups\image_22.jpg,closeups
close_00016,D:\SEM 7\CVProject\datasets\bottles_closeups\image_23.jpg,closeups
close_00017,D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,closeups
close_00018,D:\SEM 7\CVProject\datasets\bottles_closeups\image_25.jpg,closeups
close_00019,D:\SEM 7\CVProject\datasets\bottles_closeups\image_26.jpg,closeups
close_00020,D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,closeups
close_00021,D:\SEM 7\CVProject\datasets\bottles_closeups\image_28.jpg,closeups
close_00022,D:\SEM 7\CVProject\datasets\bottles_closeups\image_29.jpg,closeups
close_00023,D:\SEM 7\CVProject\datasets\bottles_closeups\image_3.jpg,closeups
close_00024,D:\SEM 7\CVProject\datasets\bottles_closeups\image_30.jpg,closeups
close_00025,D:\SEM 7\CVProject\datasets\bottles_closeups\image_31.jpg,closeups
close_00026,D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,closeups
close_00027,D:\SEM 7\CVProject\datasets\bottles_closeups\image_33.jpg,closeups
close_00028,D:\SEM 7\CVProject\datasets\bottles_closeups\image_34.jpg,closeups
close_00029,D:\SEM 7\CVProject\datasets\bottles_closeups\image_35.jpg,closeups
close_00030,D:\SEM 7\CVProject\datasets\bottles_closeups\image_36.jpg,closeups
close_00031,D:\SEM 7\CVProject\datasets\bottles_closeups\image_37.jpg,closeups
close_00032,D:\SEM 7\CVProject\datasets\bottles_closeups\image_38.jpg,closeups
close_00033,D:\SEM 7\CVProject\datasets\bottles_closeups\image_4.jpg,closeups
close_00034,D:\SEM 7\CVProject\datasets\bottles_closeups\image_5.jpg,closeups
close_00035,D:\SEM 7\CVProject\datasets\bottles_closeups\image_6.jpg,closeups
close_00036,D:\SEM 7\CVProject\datasets\bottles_closeups\image_7.jpg,closeups
close_00037,D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,closeups
close_00038,D:\SEM 7\CVProject\datasets\bottles_closeups\image_9.jpg,closeups
occlu_00000,D:\SEM 7\CVProject\datasets\bottles_occluded\image_0.jpg,occluded
occlu_00001,D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,occluded
occlu_00002,D:\SEM 7\CVProject\datasets\bottles_occluded\image_10.jpg,occluded
occlu_00003,D:\SEM 7\CVProject\datasets\bottles_occluded\image_11.jpg,occluded
occlu_00004,D:\SEM 7\CVProject\datasets\bottles_occluded\image_12.jpg,occluded
occlu_00005,D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,occluded
occlu_00006,D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,occluded
occlu_00007,D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,occluded
occlu_00008,D:\SEM 7\CVProject\datasets\bottles_occluded\image_16.jpg,occluded
occlu_00009,D:\SEM 7\CVProject\datasets\bottles_occluded\image_17.jpg,occluded
occlu_00010,D:\SEM 7\CVProject\datasets\bottles_occluded\image_18.jpg,occluded
occlu_00011,D:\SEM 7\CVProject\datasets\bottles_occluded\image_19.jpg,occluded
occlu_00012,D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,occluded
occlu_00013,D:\SEM 7\CVProject\datasets\bottles_occluded\image_20.jpg,occluded
occlu_00014,D:\SEM 7\CVProject\datasets\bottles_occluded\image_21.jpg,occluded
occlu_00015,D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,occluded
occlu_00016,D:\SEM 7\CVProject\datasets\bottles_occluded\image_23.jpg,occluded
occlu_00017,D:\SEM 7\CVProject\datasets\bottles_occluded\image_24.jpg,occluded
occlu_00018,D:\SEM 7\CVProject\datasets\bottles_occluded\image_25.jpg,occluded
occlu_00019,D:\SEM 7\CVProject\datasets\bottles_occluded\image_26.jpg,occluded
occlu_00020,D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,occluded
occlu_00021,D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,occluded
occlu_00022,D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,occluded
occlu_00023,D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,occluded
occlu_00024,D:\SEM 7\CVProject\datasets\bottles_occluded\image_30.jpg,occluded
occlu_00025,D:\SEM 7\CVProject\datasets\bottles_occluded\image_31.jpg,occluded
occlu_00026,D:\SEM 7\CVProject\datasets\bottles_occluded\image_4.jpg,occluded
occlu_00027,D:\SEM 7\CVProject\datasets\bottles_occluded\image_5.jpg,occluded
occlu_00028,D:\SEM 7\CVProject\datasets\bottles_occluded\image_6.jpg,occluded
occlu_00029,D:\SEM 7\CVProject\datasets\bottles_occluded\image_7.jpg,occluded
occlu_00030,D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,occluded
occlu_00031,D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,occluded
