image,folder,x1,y1,x2,y2,abs_path
image_0.jpg,bottles_closeups,2037,2836,2060,2856,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2056,2941,2078,2958,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2028,2782,2051,2800,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2194,3155,2221,3176,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,363,2185,438,2252,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2375,3368,2972,4000,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,327,693,379,746,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,791,3696,926,3914,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2044,2890,2071,2909,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2839,452,2913,520,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2048,2539,2067,2564,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2060,2617,2081,2632,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1777,539,1833,595,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2151,2934,2176,2953,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2943,350,3000,446,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,442,2240,470,2260,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1092,3553,1779,4000,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1560,2770,1581,2790,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1129,3426,1316,3541,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2391,2724,2432,2738,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,785,2705,821,2724,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,0,886,3000,3066,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2174,3068,2206,3093,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,606,2257,652,2288,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,438,2158,472,2173,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,779,2642,845,2695,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,548,2240,597,2273,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,478,2236,538,2264,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,259,2257,285,2274,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1999,2579,2252,3091,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,0,2956,798,3960,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,958,915,1816,1082,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,662,2270,701,2298,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,0,2637,155,2711,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,978,3150,1232,3484,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2037,2865,2065,2883,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2026,2803,2055,2829,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1213,2846,1268,2892,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1905,3299,2155,3658,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1097,2851,1186,2861,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,835,2694,898,2731,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,1475,2742,1546,2780,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,127,2384,152,2408,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,797,2784,855,2846,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2153,2674,3000,3318,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,2294,2846,2331,2866,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,0,0,2982,759,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_0.jpg,bottles_closeups,567,2390,621,2426,D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg
image_1.jpg,bottles_closeups,192,0,253,30,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,1750,323,1822,390,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,2202,0,2251,27,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,1901,327,1979,386,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,2767,3589,2817,3640,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,0,382,46,432,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,2684,0,2854,146,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,1918,62,2059,178,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,0,0,3000,4000,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,0,435,70,568,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,2540,2798,2577,2823,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,2071,291,2264,568,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_1.jpg,bottles_closeups,2272,477,2472,651,D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg
image_10.jpg,bottles_closeups,2812,487,2837,522,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg
image_10.jpg,bottles_closeups,1342,3398,1444,3429,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg
image_10.jpg,bottles_closeups,1634,3017,1687,3036,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg
image_10.jpg,bottles_closeups,1818,3147,1950,3180,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg
image_10.jpg,bottles_closeups,1046,3399,2011,3992,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg
image_10.jpg,bottles_closeups,1872,1271,1909,1286,D:\SEM 7\CVProject\datasets\bottles_closeups\image_10.jpg
