image_path,x1,y1,x2,y2
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,72,3072,279,3438
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,773,3145,1006,3469
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,3069,156,3543
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,299,499,535,808
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2171,3346,2357,3702
D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,1862,71,2243,590
D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,2231,472,2476,1001
D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,0,896,278,1268
D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,0,0,256,337
D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,1690,77,1853,582
D:\SEM 7\CVProject\datasets\bottles_closeups\image_1.jpg,2261,450,2454,774
D:\SEM 7\CVProject\datasets\bottles_closeups\image_11.jpg,855,843,1654,2019
D:\SEM 7\CVProject\datasets\bottles_closeups\image_11.jpg,994,2085,1162,2469
D:\SEM 7\CVProject\datasets\bottles_closeups\image_12.jpg,2138,1840,3023,4031
D:\SEM 7\CVProject\datasets\bottles_closeups\image_12.jpg,2069,2375,2248,2809
D:\SEM 7\CVProject\datasets\bottles_closeups\image_12.jpg,885,1917,1071,2249
D:\SEM 7\CVProject\datasets\bottles_closeups\image_14.jpg,469,3182,800,4007
D:\SEM 7\CVProject\datasets\bottles_closeups\image_14.jpg,2669,2413,2993,2824
D:\SEM 7\CVProject\datasets\bottles_closeups\image_14.jpg,2813,2470,3023,2770
D:\SEM 7\CVProject\datasets\bottles_closeups\image_14.jpg,1410,2319,1591,2653
D:\SEM 7\CVProject\datasets\bottles_closeups\image_15.jpg,1290,2129,1520,2584
D:\SEM 7\CVProject\datasets\bottles_closeups\image_16.jpg,1544,1412,1706,1787
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,0,997,1486,3517
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1073,0,1496,921
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1661,1232,2094,2083
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,17,2977,367,3777
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,0,2474,300,3038
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1737,1853,1929,2492
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,2706,886,2999,1283
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,0,254,222,773
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1810,3583,2052,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1550,1284,1805,1674
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1531,1858,1751,2276
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,2840,581,2999,1149
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1832,741,2069,1069
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,736,2473,944,2779
D:\SEM 7\CVProject\datasets\bottles_closeups\image_17.jpg,1171,2939,1330,3313
D:\SEM 7\CVProject\datasets\bottles_closeups\image_18.jpg,0,2829,368,3502
D:\SEM 7\CVProject\datasets\bottles_closeups\image_18.jpg,1013,2357,1359,2892
D:\SEM 7\CVProject\datasets\bottles_closeups\image_18.jpg,1735,3007,2042,3428
D:\SEM 7\CVProject\datasets\bottles_closeups\image_18.jpg,2002,3489,2183,3948
D:\SEM 7\CVProject\datasets\bottles_closeups\image_18.jpg,806,458,1026,797
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,0,997,1486,3517
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1073,0,1496,921
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1661,1232,2094,2083
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,17,2977,367,3777
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,0,2474,300,3038
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1737,1853,1929,2492
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,2706,886,2999,1283
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,0,254,222,773
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1810,3583,2052,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1550,1284,1805,1674
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1531,1858,1751,2276
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,2840,581,2999,1149
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1832,741,2069,1069
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,736,2473,944,2779
D:\SEM 7\CVProject\datasets\bottles_closeups\image_19.jpg,1171,2939,1330,3313
