image_path,x1,y1,x2,y2
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,0,2999,2366
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,2400,2264,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1565,2544,2425,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1813,353,2999,1285
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,909,3193,2213,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1298,0,2819,689
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2071,2909,2999,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,829,1026,1753,2095
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,672,1931,1951,2683
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1713,2251,2999,2879
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1805,2001,2999,2634
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,529,1018,1249
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,0,1253,502
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2111,2673,2999,3371
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1121,269,1826,944
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,1524,753,2155
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2455,1015,2999,1845
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2327,3393,2999,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,133,2331,1025,2736
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2152,2610,2999,3008
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,256,3359,719,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,1098,715,1503
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1338,3238,1892,3726
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,392,1652,926,2146
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,926,3196,1303,3894
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1094,1608,1650,2065
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,143,2591,927,2914
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,382,474,911
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,666,3177,964,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,2969,344,3607
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,226,654,543
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2094,106,2678,452
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1523,2013,1925,2476
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,664,1065,1096,1484
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1933,3384,2200,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1648,1444,1942,1987
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,3593,392,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,715,3043,1048,3512
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1997,1867,2569,2137
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2314,601,2821,873
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1550,0,2101,231
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,940,2481,1159,3049
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,30,2514,456,2806
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,0,1449,303,1858
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1409,2254,1792,2565
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,2181,3380,2360,3999
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1630,2624,2019,2909
D:\SEM 7\CVProject\datasets\bottles_closeups\image_0.jpg,1649,446,1985,775
